"dataset","genus","category","substance","duration of accumulation","exposure route","n (replicate)","Kinetic biaccumulation factor","report","reference","comments"
"<a href='Daphnia_fluoranthene_24h_Wang2021_gut-food.txt'target='_blank'>Daphnia_fluoranthene_24h_Wang2021_gut-food.txt</a>","<i>Daphnia</i>","aquatic invertebrate","fluoranthene","24 hours","food","24 (3)","0.0443 </br> [0.0407 - 0.0478]","<a href='Daphnia_fluoranthene_24h_Wang2021_gut-food.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","gut"
"<a href='Daphnia_fluoranthene_24h_Wang2021_gut.txt'target='_blank'>Daphnia_fluoranthene_24h_Wang2021_gut.txt</a>","<i>Daphnia</i>","aquatic invertebrate","fluoranthene","24 hours","water","19 (3)","1215 </br> [1050 - 1376]","<a href='Daphnia_fluoranthene_24h_Wang2021_gut.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","gut"
"<a href='Daphnia_phenanthrene_24h_Wang2021_body-without-gut-food.txt'target='_blank'>Daphnia_phenanthrene_24h_Wang2021_body-without-gut-food.txt</a>","<i>Daphnia</i>","aquatic invertebrate","phenanthrene","24 hours","food","27 (3)","0.0097 </br> [0.009 - 0.0104]","<a href='Daphnia_phenanthrene_24h_Wang2021_body-without-gut-food.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","body without gut"
"<a href='Daphnia_phenanthrene_24h_Wang2021_body-without-gut.txt'target='_blank'>Daphnia_phenanthrene_24h_Wang2021_body-without-gut.txt</a>","<i>Daphnia</i>","aquatic invertebrate","phenanthrene","24 hours","water","21 (3)","438 </br> [397 - 478]","<a href='Daphnia_phenanthrene_24h_Wang2021_body-without-gut.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","body without gut"
"<a href='Daphnia_phenanthrene_24h_Wang2021_gut-food.txt'target='_blank'>Daphnia_phenanthrene_24h_Wang2021_gut-food.txt</a>","<i>Daphnia</i>","aquatic invertebrate","phenanthrene","24 hours","food","24 (3)","0.0349 </br> [0.0265 - 0.039]","<a href='Daphnia_phenanthrene_24h_Wang2021_gut-food.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","gut"
"<a href='Daphnia_phenanthrene_24h_Wang2021_gut.txt'target='_blank'>Daphnia_phenanthrene_24h_Wang2021_gut.txt</a>","<i>Daphnia</i>","aquatic invertebrate","phenanthrene","24 hours","water","25 (3)","993 </br> [934 - 1054]","<a href='Daphnia_phenanthrene_24h_Wang2021_gut.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","gut"
"<a href='Daphnia_pyrene_24h_Wang2021_body-without-gut-food.txt'target='_blank'>Daphnia_pyrene_24h_Wang2021_body-without-gut-food.txt</a>","<i>Daphnia</i>","aquatic invertebrate","pyrene","24 hours","food","25 (3)","0.012 </br> [0.011 - 0.013]","<a href='Daphnia_pyrene_24h_Wang2021_body-without-gut-food.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","body without gut"
"<a href='Daphnia_pyrene_24h_Wang2021_body-without-gut.txt'target='_blank'>Daphnia_pyrene_24h_Wang2021_body-without-gut.txt</a>","<i>Daphnia</i>","aquatic invertebrate","pyrene","24 hours","water","25 (3)","520 </br> [453 - 587]","<a href='Daphnia_pyrene_24h_Wang2021_body-without-gut.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","body without gut"
"<a href='Daphnia_pyrene_24h_Wang2021_gut-food.txt'target='_blank'>Daphnia_pyrene_24h_Wang2021_gut-food.txt</a>","<i>Daphnia</i>","aquatic invertebrate","pyrene","24 hours","food","25 (3)","0.0777 </br> [0.071 - 0.0822]","<a href='Daphnia_pyrene_24h_Wang2021_gut-food.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","gut"
"<a href='Daphnia_pyrene_24h_Wang2021_gut-water.txt'target='_blank'>Daphnia_pyrene_24h_Wang2021_gut-water.txt</a>","<i>Daphnia</i>","aquatic invertebrate","pyrene","24 hours","water","18 (3)","2163 </br> [1964 - 2355]","<a href='Daphnia_pyrene_24h_Wang2021_gut-water.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06970
    
'target='_blank'>Wang<i> et al.</i> (2021)</a>","gut water"
"<a href='Enchytraeus_phenanthrene_14d_Dai2021_10.1<U+00B0>C.txt'target='_blank'>Enchytraeus_phenanthrene_14d_Dai2021_10.1<U+00B0>C.txt</a>","<i>Enchytraeus</i>","terrestrial worm","phenanthrene","14 days","sediment","16 (1)","228 </br> [209 - 246]","<a href='Enchytraeus_phenanthrene_14d_Dai2021_10.1C.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06182
    
'target='_blank'>Dai<i> et al.</i> (2021)</a>","10.1 \circ\ C"
"<a href='Enchytraeus_phenanthrene_14d_Dai2021_14.3<U+00B0>C.txt'target='_blank'>Enchytraeus_phenanthrene_14d_Dai2021_14.3<U+00B0>C.txt</a>","<i>Enchytraeus</i>","terrestrial worm","phenanthrene","14 days","sediment","16 (1)","242 </br> [207 - 277]","<a href='Enchytraeus_phenanthrene_14d_Dai2021_14.3C.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06182
    
'target='_blank'>Dai<i> et al.</i> (2021)</a>","14.3 \circ\ C"
"<a href='Enchytraeus_phenanthrene_14d_Dai2021_20.3<U+00B0>C.txt'target='_blank'>Enchytraeus_phenanthrene_14d_Dai2021_20.3<U+00B0>C.txt</a>","<i>Enchytraeus</i>","terrestrial worm","phenanthrene","14 days","sediment","16 (1)","284 </br> [250 - 317]","<a href='Enchytraeus_phenanthrene_14d_Dai2021_20.3<U+00B0>C.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06182
    
'target='_blank'>Dai<i> et al.</i> (2021)</a>","20.3 \circ\ C"
"<a href='Enchytraeus_phenanthrene_14d_Dai2021_24.7<U+00B0>C.txt'target='_blank'>Enchytraeus_phenanthrene_14d_Dai2021_24.7<U+00B0>C.txt</a>","<i>Enchytraeus</i>","terrestrial worm","phenanthrene","14 days","sediment","16 (1)","327 </br> [275 - 368]","<a href='Enchytraeus_phenanthrene_14d_Dai2021_24.7C.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06182
    
'target='_blank'>Dai<i> et al.</i> (2021)</a>","24.7 \circ\ C"
"<a href='Enchytraeus_phenanthrene_14d_Dai2021_5.3<U+00B0>C.txt'target='_blank'>Enchytraeus_phenanthrene_14d_Dai2021_5.3<U+00B0>C.txt</a>","<i>Enchytraeus</i>","terrestrial worm","phenanthrene","14 days","sediment","16 (1)","179 </br> [153 - 209]","<a href='Enchytraeus_phenanthrene_14d_Dai2021_5.3C.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06182
    
'target='_blank'>Dai<i> et al.</i> (2021)</a>","5.3 \circ\ C"
"<a href='Enchytraeus_phenanthrene_14d_Dai2021_daily-temperature-variation.txt'target='_blank'>Enchytraeus_phenanthrene_14d_Dai2021_daily-temperature-variation.txt</a>","<i>Enchytraeus</i>","terrestrial worm","phenanthrene","14 days","sediment","16 (1)","265 </br> [246 - 285]","<a href='Enchytraeus_phenanthrene_14d_Dai2021_daily-temperature-variation.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06182
    
'target='_blank'>Dai<i> et al.</i> (2021)</a>","daily temperature variation"
"<a href='Hyalella_diclofenac_1d_Fu2021_Cext-constant.txt'target='_blank'>Hyalella_diclofenac_1d_Fu2021_Cext-constant.txt</a>","<i>Hyalella</i>","aquatic invertebrate","diclofenac","1 days","water","30 (2)","490 </br> [1 - 496477]","<a href='Hyalella_diclofenac_1d_Fu2021_Cext-constant.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c07887
    
'target='_blank'>Fu<i> et al.</i> (2021)</a>","Cext constantbiotransformation"
"<a href='Hyalella_diclofenac_1d_Fu2021_Cext-variable.txt'target='_blank'>Hyalella_diclofenac_1d_Fu2021_Cext-variable.txt</a>","<i>Hyalella</i>","aquatic invertebrate","diclofenac","1 days","water","40 (2)","848 </br> [2 - 828853]","<a href='Hyalella_diclofenac_1d_Fu2021_Cext-variable.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c07887
    
'target='_blank'>Fu<i> et al.</i> (2021)</a>","Cext variablebiotransformation"
"<a href='Perca_SAmPAP_45d_Gaillard2017_liver.txt'target='_blank'>Perca_SAmPAP_45d_Gaillard2017_liver.txt</a>","<i>Perca</i>","fish","SAmPAP","45 days","food","13 (1)","1 </br> [0 - 16]","<a href='Perca_SAmPAP_45d_Gaillard2017_liver.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.6b05598
    
'target='_blank'>Gaillard<i> et al.</i> (2017)</a>","liverbiotransformation"
"<a href='Perca_SAmPAP_45d_Gaillard2017_muscles.txt'target='_blank'>Perca_SAmPAP_45d_Gaillard2017_muscles.txt</a>","<i>Perca</i>","fish","SAmPAP","45 days","food","13 (1)","0 </br> [0 - 2]","<a href='Perca_SAmPAP_45d_Gaillard2017_muscles.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.6b05598
    
'target='_blank'>Gaillard<i> et al.</i> (2017)</a>","musclesbiotransformation"
"<a href='Perca_SAmPAP_45d_Gaillard2017_serum.txt'target='_blank'>Perca_SAmPAP_45d_Gaillard2017_serum.txt</a>","<i>Perca</i>","fish","SAmPAP","45 days","food","13 (1)","1 </br> [0 - 33]","<a href='Perca_SAmPAP_45d_Gaillard2017_serum.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.6b05598
    
'target='_blank'>Gaillard<i> et al.</i> (2017)</a>","serumbiotransformation"
"<a href='Daphnia_uranium_2d_Scheibener2021.txt'target='_blank'>Daphnia_uranium_2d_Scheibener2021.txt</a>","<i>Daphnia</i>","aquatic invertebrate","uranium","2 days","water","6 (4)","5322 </br> [4551 - 6105]","<a href='Daphnia_uranium_2d_Scheibener2021.pdf' target='_blank'>Link</a>","<a id='cite-Scheibener2021'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0166445X21000953'>Scheibener<i> et al.</i> (2021)</a>","4 tested concentrations"
"<a href='Eisina_bifenthrin_504h_Firdaus2018.txt'target='_blank'>Eisina_bifenthrin_504h_Firdaus2018.txt</a>","<i>Eisina</i>","terrestrial worm","bifenthrin","504 hours","sediment","14 (1)","0.126 </br> [0.1141 - 0.1388]","<a href='Eisina_bifenthrin_504h_Firdaus2018.pdf' target='_blank'>Link</a>","<a id='cite-Firdaus2018'target='_blank'></a><a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.4094'>Mohd Firdaus<i> et al.</i> (2018)</a>",NA
"<a href='Eisina_capture-LFR_504h_Firdaus2018.txt'target='_blank'>Eisina_capture-LFR_504h_Firdaus2018.txt</a>","<i>Eisina</i>","terrestrial worm","capture-LFR","504 hours","sediment","14 (1)","0.1568 </br> [0.1397 - 0.1763]","<a href='Eisina_capture-LFR_504h_Firdaus2018.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.4094'target='_blank'>Mohd Firdaus<i> et al.</i> (2018)</a>",NA
"<a href='Eisina_nano-A_504h_Firdaus2018.txt'target='_blank'>Eisina_nano-A_504h_Firdaus2018.txt</a>","<i>Eisina</i>","terrestrial worm","nano-A","504 hours","sediment","14 (1)","0.1773 </br> [0.1663 - 0.1879]","<a href='Eisina_nano-A_504h_Firdaus2018.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.4094'target='_blank'>Mohd Firdaus<i> et al.</i> (2018)</a>",NA
"<a href='Eisina_nano-B_504h_Firdaus2018.txt'target='_blank'>Eisina_nano-B_504h_Firdaus2018.txt</a>","<i>Eisina</i>","terrestrial worm","nano-B","504 hours","sediment","14 (1)","0.2004 </br> [0.1895 - 0.2112]","<a href='Eisina_nano-B_504h_Firdaus2018.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.4094'target='_blank'>Mohd Firdaus<i> et al.</i> (2018)</a>",NA
"<a href='Enchytraeus_AgNO3_10d_Topuz2015.txt'target='_blank'>Enchytraeus_AgNO3_10d_Topuz2015.txt</a>","<i>Enchytraeus</i>","terrestrial worm","AgNO3","10 days","water","10 (2)","2993 </br> [0 - 219390]","<a href='Enchytraeus_AgNO3_10d_Topuz2015.pdf' target='_blank'>Link</a>","<a id='cite-Topuz2015'target='_blank'></a><a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.3123'>Topuz<i> et al.</i> (2015)</a>","4 tested concentrations"
"<a href='Gammarus_Cd_7d_Gestin2021_caeca.txt'target='_blank'>Gammarus_Cd_7d_Gestin2021_caeca.txt</a>","<i>Gammarus</i>","aquatic invertebrate","Cd","7 days","water","18 (3)","25808 </br> [19020 - 35682]","<a href='Gammarus_Cd_7d_Gestin2021_caeca.pdf' target='_blank'>Link</a>","<a id='cite-Gestin2021'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0160412021002506'>Gestin<i> et al.</i> (2021)</a>","caeca"
"<a href='Gammarus_Cd_7d_Gestin2021_cephalons.txt'target='_blank'>Gammarus_Cd_7d_Gestin2021_cephalons.txt</a>","<i>Gammarus</i>","aquatic invertebrate","Cd","7 days","water","18 (3)","1568 </br> [1131 - 2235]","<a href='Gammarus_Cd_7d_Gestin2021_cephalons.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0160412021002506'target='_blank'>Gestin<i> et al.</i> (2021)</a>","cephalons"
"<a href='Gammarus_Cd_7d_Gestin2021_intestins.txt'target='_blank'>Gammarus_Cd_7d_Gestin2021_intestins.txt</a>","<i>Gammarus</i>","aquatic invertebrate","Cd","7 days","water","18 (3)","3792 </br> [2774 - 5067]","<a href='Gammarus_Cd_7d_Gestin2021_intestins.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0160412021002506'target='_blank'>Gestin<i> et al.</i> (2021)</a>","intestins"
"<a href='Gammarus_Cd_7d_Gestin2021_tissues.txt'target='_blank'>Gammarus_Cd_7d_Gestin2021_tissues.txt</a>","<i>Gammarus</i>","aquatic invertebrate","Cd","7 days","water","18 (3)","5140 </br> [3681 - 7805]","<a href='Gammarus_Cd_7d_Gestin2021_tissues.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0160412021002506'target='_blank'>Gestin<i> et al.</i> (2021)</a>","tissues"
"<a href='Gammarus_Hg_7d_Gestin2021_caeca.txt'target='_blank'>Gammarus_Hg_7d_Gestin2021_caeca.txt</a>","<i>Gammarus</i>","aquatic invertebrate","Hg","7 days","water","18 (3)","7832 </br> [4459 - 12687]","<a href='Gammarus_Hg_7d_Gestin2021_caeca.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0160412021002506'target='_blank'>Gestin<i> et al.</i> (2021)</a>","caeca"
"<a href='Gammarus_Hg_7d_Gestin2021_cephalons.txt'target='_blank'>Gammarus_Hg_7d_Gestin2021_cephalons.txt</a>","<i>Gammarus</i>","aquatic invertebrate","Hg","7 days","water","21 (3)","41749 </br> [8893 - 2099539]","<a href='Gammarus_Hg_7d_Gestin2021_cephalons.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0160412021002506'target='_blank'>Gestin<i> et al.</i> (2021)</a>","cephalons"
"<a href='Gammarus_Hg_7d_Gestin2021_intestins.txt'target='_blank'>Gammarus_Hg_7d_Gestin2021_intestins.txt</a>","<i>Gammarus</i>","aquatic invertebrate","Hg","7 days","water","21 (3)","7449 </br> [5576 - 10231]","<a href='Gammarus_Hg_7d_Gestin2021_intestins.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0160412021002506'target='_blank'>Gestin<i> et al.</i> (2021)</a>","intestins"
"<a href='Gammarus_Hg_7d_Gestin2021_tissues.txt'target='_blank'>Gammarus_Hg_7d_Gestin2021_tissues.txt</a>","<i>Gammarus</i>","aquatic invertebrate","Hg","7 days","water","21 (3)","11968 </br> [7195 - 25250]","<a href='Gammarus_Hg_7d_Gestin2021_tissues.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0160412021002506'target='_blank'>Gestin<i> et al.</i> (2021)</a>","tissues"
